0368 בדידה 2 א,10/03/2024
0368 אלגוריתמים א,10/03/2024
0368 אלגוריתמים קוונטיים א,10/03/2024
0366 מבוא לתורת הקבוצות א,10/03/2024
0366 תורת החבורות א,10/03/2024
0366 מבוא למרחבי הילברט א,10/03/2024
0321 שיטות נומריות בפיזיקה א,10/03/2024
0351 מבוא לגלים א,10/03/2024
0351 פיזיקה כללית ב1 א,10/03/2024
0341 אוקיינוגרפיה פיזיקלית א,10/03/2024
0341 הידרוגאולוגיה א,10/03/2024
0366 מרוכבות 1 א,11/03/2024
0351 כימיה כללית 1 א,12/03/2024
0341 מבוא לכימיה א,12/03/2024
0368 לוגיקה למדעי המחשב א,13/03/2024
0321 קוונטים 2 א,13/03/2024
0365 מבוא ללמידה סטטיסטית א,13/03/2024
0341 פ.נ. באקולוגיה א,13/03/2024
0368 תוכנה 1 א,14/03/2024
0351 כימיה אורגנית 1 א,14/03/2024
אנגלית מועד ב,15/03/2024
יום פתוח,15/03/2024
0368 קומפילציה א,17/03/2024
0366 חדוא 1א לפיזיקה א,17/03/2024
0366 חדוא 1א א,17/03/2024
0351 מבוא לספקטרוסקופיה א,17/03/2024
0341 מכניקת הרצף גאופיזית - זורמים א,17/03/2024
0341 מבוא ללוויינות א,17/03/2024
0341 מבוא לאקו פילוסופיה א,17/03/2024
0366 חדוא 2א א,18/03/2024
0365 הסתברות למדעים א,18/03/2024
0351 תרמודינמיקה א,19/03/2024
0368 מבני נתונים א,21/03/2024
0368 פרויקט תוכנה א,21/03/2024
0366 חדוא 1ג א,21/03/2024
0366 לינארית 1ב א,21/03/2024
0321 מבוא למצב מוצק א,21/03/2024
0365 מבני נתונים ואלגוריתמים א,21/03/2024
0366 לינארית 1א א,22/03/2024
0321 לינארית לפיזיקה 1 א,22/03/2024
0368 הסתברות וסטטיסטיקה לדו-חוגי א,25/03/2024
0366 חדוא 3 א,25/03/2024
0366 מבוא לקומבינטוריקה ותורת הגרפים א,25/03/2024
0365 מבוא למחשבים לסטטיסטיקאים א,25/03/2024
0365 מודלים סטטיסטיים ב' א,25/03/2024
0300 מבוא לביולוגיה לכימאים א,25/03/2024
0341 מבוא לדינמיקה לא לינארית א,25/03/2024
0321 מכניקה אנליטית א,26/03/2024
0368 בדידה 1 א,27/03/2024
0368 סיבוכיות א,27/03/2024
0351 כימיה כללית 2 א,27/03/2024
0368 מבנה מחשבים א,28/03/2024
0366 אנליזה נומרית א,29/03/2024
0321 מחשבים לפיזיקאים א,29/03/2024
0341 גאודינמיקה א,29/03/2024
0321 שיטות בפיזיקה עיונית 1 א,31/03/2024
0351 מבוא לגלים ב,31/03/2024
0351 פיזיקה כללית ב1 ב,31/03/2024
0366 מבוא להסתברות א,01/04/2024
0365 מבוא להסתברות לסטטיסטיקאים א,01/04/2024
0365 חקר ביצועים 1 א,01/04/2024
0321 אלקטרומגנטיות אנליטית א,02/04/2024
0351 כימיה כללית 1 ב,02/04/2024
0365 סטטיסטיקה למדמח א,03/04/2024
0368 אלגוריתמים קוונטיים ב,03/04/2024
0366 תורת החבורות ב,03/04/2024
0341 אוקיינוגרפיה פיזיקלית ב,03/04/2024
0341 הידרוגאולוגיה ב,03/04/2024
0341 פיזיקה של האטמוספירה א,04/04/2024
0321 שיטות נומריות בפיזיקה ב,04/04/2024
0368 מבוא מורחב למדמח א,05/04/2024
0366 מדר 1 א,05/04/2024
0341 מבוא למדעי כדור הארץ א,05/04/2024
0341 עיבוד אותות גאופיזיים א,05/04/2024
0368 תוכנה 1 ב,07/04/2024
0366 מבוא למרחבי הילברט ב,07/04/2024
0351 כימיה אורגנית 1 ב,07/04/2024
0341 פ.נ. באקולוגיה ב,07/04/2024
0366 מרוכבות 1 ב,08/04/2024
0341 מבוא לכימיה ב,08/04/2024
0368 מודלים חישוביים א,09/04/2024
0366 לינארית 1ג א,09/04/2024
0321 ממפיס 1 א,09/04/2024
0366 חדוא 1ב א,10/04/2024
0366 לינארית 2א א,10/04/2024
0368 לוגיקה למדעי המחשב ב,10/04/2024
0341 מבוא ללוויינות ב,10/04/2024
0341 מבוא לאקו פילוסופיה ב,10/04/2024
0365 הסתברות למדעים ב,11/04/2024
0351 תרמודינמיקה ב,11/04/2024
0365 מודלים סטטיסטיים א' א,14/04/2024
0368 פרויקט תוכנה ב,14/04/2024
0366 חדוא 1א לפיזיקה ב,14/04/2024
0366 חדוא 1א ב,14/04/2024
0321 מבוא למצב מוצק ב,14/04/2024
0368 מערכות הפעלה א,15/04/2024
0366 חדוא 2א ב,15/04/2024
0366 לינארית 1ב ב,15/04/2024
0351 מבוא לגלים ג,15/04/2024
0351 פיזיקה כללית ב1 ג,15/04/2024
"0321 גלים, אור ואופטיקה א",16/04/2024
0351 כימיה כללית 2 ב,17/04/2024
0321 פיזיקה קלאסית 1 א,18/04/2024
0368 בדידה 2 ב,18/04/2024
0368 אלגוריתמים ב,18/04/2024
0366 חדוא 3 ב,18/04/2024
0321 קוונטים 2 ב,18/04/2024
0300 מבוא לביולוגיה לכימאים ב,18/04/2024
0366 מבוא לתורת הקבוצות ב,19/04/2024
0341 מכניקת הרצף גאופיזית - זורמים ב,19/04/2024
0351 פיזיקה כללית א1 א,21/04/2024
0368 בדידה 1 ב,21/04/2024
0368 מבני נתונים ב,21/04/2024
0368 קומפילציה ב,21/04/2024
0365 מודלים סטטיסטיים ב' ב,21/04/2024
0351 כימיה כללית 1 ג,21/04/2024
0351 כימיה אורגנית 1 ג,21/04/2024
0351 כימיה כללית 2 ג,30/04/2024
0351 תרמודינמיקה ג,30/04/2024
0321 מכניקה אנליטית ב,01/05/2024
0365 מבני נתונים ואלגוריתמים ב,01/05/2024
0341 פיזיקה של האטמוספירה ב,01/05/2024
0341 גאודינמיקה ב,01/05/2024
0368 מבנה מחשבים ב,02/05/2024
0365 מבוא למחשבים לסטטיסטיקאים ב,02/05/2024
0368 מבוא מורחב למדמח ב,03/05/2024
0368 סיבוכיות ב,03/05/2024
0321 מחשבים לפיזיקאים ב,03/05/2024
0341 מבוא לדינמיקה לא לינארית ב,03/05/2024
0366 לינארית 1ג ב,05/05/2024
0366 אנליזה נומרית ב,05/05/2024
0321 שיטות בפיזיקה עיונית 1 ב,05/05/2024
0368 מודלים חישוביים ב,06/05/2024
0368 הסתברות וסטטיסטיקה לדו-חוגי ב,06/05/2024
0366 חדוא 1ב ב,06/05/2024
0366 לינארית 2א ב,06/05/2024
0366 לינארית 1א ב,07/05/2024
0321 לינארית לפיזיקה 1 ב,07/05/2024
0365 חקר ביצועים 1 ב,07/05/2024
0366 מדר 1 ב,08/05/2024
0341 עיבוד אותות גאופיזיים ב,08/05/2024
תחילת סמסטר,09/05/2024
0365 סטטיסטיקה למדמח ב,10/05/2024
0366 חדוא 1ג ב,10/05/2024
"0321 גלים, אור ואופטיקה ב",10/05/2024
0365 מבוא להסתברות לסטטיסטיקאים ב,10/05/2024
0365 מבוא ללמידה סטטיסטית ב,10/05/2024
0351 מבוא לספקטרוסקופיה ב,10/05/2024
0341 מבוא למדעי כדור הארץ ב,10/05/2024
0368 מערכות הפעלה ב,17/05/2024
0366 מבוא לקומבינטוריקה ותורת הגרפים ב,17/05/2024
0366 מבוא להסתברות ב,17/05/2024
0321 ממפיס 1 ב,17/05/2024
0321 אלקטרומגנטיות אנליטית ב,17/05/2024
0365 מודלים סטטיסטיים א' ב,17/05/2024
